File Name;Game Title;Rpi 1 Status;Rpi 2 Status;Rpi 3 Status;Parent;BIOS;Samples;Notes;Year;Manufacturer;Played
centiped;Centipede (revision 3);Untested;OK;OK;;;;pointer/mouse/trackball/analog support;1980;Atari;
cerberus;Cerberus;Untested;Untested;Untested;;;;;1985;Cinematronics;
cgangpzl;Cosmo Gang the Puzzle (US);Untested;Untested;Untested;;;;;1992;Namco;
chaknpop;Chack'n Pop;Untested;Untested;Untested;;;;;1983;Taito Corporation;
challeng;Challenger;Untested;Untested;Untested;;;;;1981;GamePlan (Centuri license);
chameleo;Chameleon;Untested;Untested;Untested;;;;;1983;Jaleco;
champbas;Champion Baseball;Untested;Untested;Untested;;;;;1983;Sega;
champwr;Champion Wrestler (World);Untested;OK;Untested;;;;;1989;Taito Corporation Japan;
changes;Changes;Untested;Untested;Untested;;;;;1982;Orca;
chasehq;Chase H.Q. (World);Untested;OK;Untested;;;;;1988;Taito Corporation Japan;
chboxing;Champion Boxing;Untested;Untested;Untested;;;;;1984;Sega;
checkman;Check Man;Untested;Untested;Untested;;;;;1982;Zilec-Zenitone;
checkmat;Checkmate;Untested;Untested;Untested;;;;;1977;Midway;
cheekyms;Cheeky Mouse;Untested;Untested;Untested;;;;;;Universal;
cheesech;Cheese Chase;Untested;Untested;Untested;;;;;1994;Art & Magic;
chelnov;Chelnov - Atomic Runner (World);Untested;Untested;Untested;;;;;1988;Data East Corporation;
cheyenne;Cheyenne (version 1.0);Untested;Untested;Untested;;;;;1984;Exidy;
chiller;Chiller (version 3.0);Untested;Untested;Untested;;;;;1986;Exidy;
chimerab;Chimera Beast (prototype);Untested;Untested;Untested;;;;;1993;Jaleco;
chinagat;China Gate (US);Untested;Untested;Untested;;;;;1988;[Technos] (Taito Romstar license);
chinatwn;China Town (Japan);Untested;Untested;Untested;;;;;1991;Data East Corporation;
chinhero;Chinese Hero;Untested;Untested;Untested;;;;;1984;Taiyo;
chinmoku;Mahjong Chinmoku no Hentai (Japan 900511);Untested;Untested;Untested;;;;;1990;Nichibutsu;
chopper;Chopper I (US set 1);Untested;Untested;Untested;;;;;1988;SNK;
chqflag;Chequered Flag;Untested;Untested;OK;;;;;1988;Konami;
chukatai;Chuka Taisen (World);Untested;Untested;Untested;;;;;1988;Taito Corporation Japan;
chwrestl;Champion Pro Wrestling;Untested;Untested;Untested;;;;;1985;Sega;
circus;Circus;Untested;Untested;Untested;;;;;1977;Exidy;
circusc;Circus Charlie;Untested;Untested;Untested;;;;;1984;Konami;
cischeat;Cisco Heat;Untested;Untested;Untested;;;;;1990;Jaleco;
citybomb;City Bomber (World);Untested;Untested;Untested;;;;;1987;Konami;
citycon;City Connection (set 1);Untested;Untested;Untested;;;;;1985;Jaleco;
citylove;City Love (Japan 860908);Untested;Untested;Untested;;;;;1986;Nichibutsu;
ckong;Crazy Kong (set 1);Untested;Untested;Untested;;;;;1981;Falcon;
clapapa;Cassette: Rootin' Tootin' (aka La.Pa.Pa);Untested;Untested;Untested;;;;;1983;DECO;
claypign;Clay Pigeon (version 2.0);Untested;Untested;Untested;;;;;1986;Exidy;
clayshoo;Clay Shoot;Untested;Untested;Untested;;;;;1979;Allied Leisure;
cleopatr;Cleopatra Fortune (Japan);Untested;Untested;Untested;;;;;1996;Taito Corporation;
cloak;Cloak & Dagger (rev 5);Untested;Untested;OK;;;;Right analog stick can be used for directional fire;1983;Atari;
cloud9;Cloud 9 (prototype);Untested;Untested;Untested;;;;;1983;Atari;
clowns;Clowns (rev. 2);Untested;Untested;Untested;;;circus;;1978;Midway;
clshroad;Clash-Road;Untested;Untested;Untested;;;;;1986;Woodplace Inc.;
club90s;Mahjong CLUB 90's (set 1) (Japan 900919);Untested;Untested;Untested;;;;;1990;Nichibutsu;
cluclu;Vs. Clu Clu Land;Untested;Untested;Untested;;;;;1984;Nintendo;
cmehyou;Mahjong Circuit no Mehyou (Japan);Untested;Untested;Untested;;;;;1992;Nichibutsu/Kawakusu;
cnightst;Cassette: Night Star (set 1);Untested;Untested;Untested;;;;;1983;DECO;
cninja;Caveman Ninja (World revision 3);Untested;OK;Untested;;;;;1991;Data East Corporation;
cobracom;Cobra-Command (World revision 5);Untested;Untested;Untested;;;;;1988;Data East Corporation;
colmns97;Columns 97;Untested;Untested;Untested;;;;;1996;Sega;
colony7;Colony 7 (set 1);Untested;Untested;Untested;;;;;1981;Taito;
columns;Columns (US);Untested;OK;Untested;;;;;1990;Sega;
columns2;Columns II - The Voyage Through Time (Japan);Untested;Untested;Untested;;;;;1990;Sega;
combasc;Combat School (joystick);Untested;Untested;Untested;;;;;1988;Konami;
combat;Combat (version 3.0);Untested;Untested;Untested;;;;;1985;Exidy;
commando;Commando (World);Untested;Untested;OK;;;;;1985;Capcom;
commsega;Commando (Sega);Untested;Untested;Untested;;;;;1983;Sega;
comotion;Comotion;Untested;Untested;Untested;;;blockade;;1976;Gremlin;
complexx;Complex X;Untested;Untested;Untested;;;;;1984;Taito America Corporation;
congo;Congo Bongo;Untested;Untested;OK;;;;;1983;Sega;
